s;0;0,02005446;0,8089262;0,9842101;1,050108;1,068156;1,114302;1,103479;1,359124;1,40158;1,556413;1,634753;1,499096;1,703552;1,867261;2,034227;
s;0;0,09514847;0,1301935;0,1470075;0,1795789;0,351563;0,3275206;0,3447678;0,5903943;0,6366403;0,8504856;0,9051609;0,8191438;0,8889265;0,9521852;1,144357;
s;0;0,03008878;0,5777283;0,6591071;0,7692794;0,9700074;0,9691439;0,964066;1,257326;1,433362;1,595569;1,804491;1,724652;1,778815;1,920733;2,012604;
s;0;0,03197819;0,2319795;0,2110107;0,2422749;0,3383567;0,3723338;0,3937905;0,6586473;0,7317588;0,8688476;0,8729591;0,7419596;0,7662034;0,8880515;0,9822721;
s;0;0,07858402;0,1734021;0,1229628;0,07700956;0,1533279;0,1091495;0,1060765;0,3660033;0,4385757;0,550638;0,5547175;0,3975105;0,4020772;0,5408249;0,7160788;
s;0;0,07930344;0,2222946;0,2175338;0,3092974;0,4040685;0,4029195;0,4203444;0,7326095;0,7494924;0,9336188;1,015408;0,8835087;0,932806;1,073744;1,243866;
s;0;0,1305444;0,2523265;0,2786547;0,3059791;0,5019546;0,5061691;0,5232105;0,7841024;0,8287647;0,9852531;1,012399;0,9040918;0,9291034;1,094115;1,210587;
s;0;0,03301466;0,1785604;0,2582681;0,4096671;0,4789054;0,5850062;0,5780783;0,8641899;0,9090116;1,040019;1,100191;0,9667664;0,9884505;1,157272;1,225268;
s;0;0,0540728;0,2273618;0,353977;0,5336951;0,6778421;0,7257245;0,7422781;1,08125;1,152923;1,236226;1,317381;1,186004;1,188395;1,332895;1,452757;
b;0;0,05575091;0,1327842;0,08447814;0,1373204;0,03473473;0,01376224;0,1063712;0,1702988;0,4504032;0,8190739;0,8244562;0,7212467;1,009454;0,9962821;1,15065;
b;0;0,2064415;0,2508452;0,4446536;0,4230064;0,3714044;0,4308615;0,5053382;0,5277255;0,5264246;0,5690234;0,6591616;0,4727726;0,4207778;0,5866451;0,7303939;
b;0;0,04631311;0,02829492;0,2029158;0,1526043;0,02308273;0,2285163;0,04482865;0,1315389;0,05204487;0,1350982;0,3190055;0,3090997;0,5875959;0,8863392;0,9564691;
b;0;0,06018806;0,1058618;0,03369272;0,03190744;0,01751971;0,03438663;0,0004742146;0,06455159;0,2349274;0,1704209;0,1483526;0,139792;0,01298475;0,003732681;0,004748821;
b;0;0,02911687;0,0723716;0,03024065;0,05426276;0,0592227;0,02317667;0,02804852;0,04081988;0,0363276;0,1275978;0,2854748;0,2806873;0,5368538;0,4538984;0,6247892;
b;0;0,04132003;0,05181694;0,07518613;0,0467006;0,04677439;0,08643174;0,05825853;0,01821971;0,004894972;0,005156279;0,2102246;0,02864981;0,137022;0,0520277;0,1746383;
b;0;0,01667237;0,0848397;0,01355875;0,03367341;0,0614419;0,08026433;0,03644013;0,07377243;0,1053998;0,169281;0,3561158;0,3050194;0,2832713;0,4493999;0,5177178;
b;0;0,01871657;0,05662656;0,04031217;0,04665387;0,1196203;0,2295923;0,2254748;0,2660856;0,3389416;0,2736385;0,2849307;0,2306495;0,2895584;0,4098492;0,4798412;
b;0;0,03455591;0,1436021;0,02263772;0,06138587;0,03602624;0,04591322;0,04243231;0,05603719;0,1307576;0,1716073;0,1283603;0,1021142;0,1321244;0,3039799;0,3740263;
b;0;0,03170466;0,08000475;0,03758192;0,01042473;0,08949041;0,1855624;0,162446;0,2301192;0,1305008;0,1189566;0,08547139;0,219511;0,2176876;0,1015654;0,006966114;
b;0;0,03676295;0,240037;0,1445194;0,05690181;0,2963989;0,02202702;0,272095;0,2341037;0,4866853;0,6009753;1,196179;1,118637;1,510066;1,452209;1,547972;
