b;0;3,413116;3,537551;3,765063;3,715147;3,938426;3,740779;3,91207;
b;0;0,007768691;0,05690908;0,007656574;0,001658797;0,2244647;0,102221;0,3484557;
b;0;0,006132305;0,08041251;0,01344383;0,03812492;0,01391101;0,04429436;0,1136465;
b;0;0,02207908;0,02283561;0,07549047;0,07774115;0,03410149;0,04431844;0,0903213;
b;0;0,01691061;0,03592896;0,008242011;0,07077515;0,04120016;0,1777542;0,1721835;
b;0;0,04558638;0,02656102;0,002664924;0,02956104;0,02471161;0,05093884;0,04895449;
b;0;0,04553086;0,02197045;0,02969146;0,0185008;0,01138592;0,05852056;0,0996933;
b;0;0,008449435;0,02808529;0,02246916;0,1071543;0,1050627;0,2057164;0,2491136;
b;0;0,01809749;0,04908103;0,1066412;0,2322086;0,2837534;0,3828797;0,4437246;
b;0;0,007241905;0,07706344;0,1075394;0,213008;0,2345574;0,337657;0,3564394;
s;0;0,005785167;0,0770933;0,1065074;0,2250618;0,2968206;0,1950653;0,2117665;
s;0;0,05941999;0,2083592;0,2349118;0,3896037;0,4350038;0,387923;0,3585217;
s;0;0,02685636;0,1490694;0,1549366;0,2738174;0,3195286;0,2437627;0,2368331;
s;0;0,1059824;0,1761484;0,194539;0,2653133;0,3083234;0,335573;0,2774892;
s;0;0,0795542;0,1470653;0,1123351;0,2606553;0,3070991;0,2603221;0,2301238;
s;0;0,03313553;0,1330114;0,1381267;0,2425109;0,2914884;0,2739806;0,242487;
s;0;0,07493401;0,1971119;0,1671007;0,2933861;0,3182023;0,3145759;0,2569904;
s;0;0,02260837;0,07055199;0,03506613;0,01738346;0,05105543;0,05260968;0,06217384;
s;0;0,01858893;0,09955257;0,04600382;0,01834869;0,009868622;0,06073952;0,06470728;
s;0;0,01478338;0,08031005;0,02574384;0,02307951;0,009823322;0,06144023;0,09346294;
s;0;0,001021326;0,04389524;0,0234673;0,09428751;0,08816171;0,03581595;0,020365;
