b;0;0,09975401;0,157468;0,2884265;0,1193454;0,07492614;0,2777653;0,3213212;0,3040459;0,2254038;0,1858459;0,1397052;0,5145426;1,098022;1,012756;1,130019;0,7382436;0,8130665;0,8278975;1,104942;1,258947;1,870833;1,617115;1,745231;1,511118;1,506238;
b;0;0,0950141;0,146695;0,04532671;0,01509511;0,1196206;0,2199574;0,2370718;0,1698611;0,08823895;0,04836011;0,02088213;0,0553894;0,3952775;0,5639868;1,453852;1,114568;1,137794;1,073107;0,8911471;0,7403131;0,8223715;0,821291;1,436192;1,202261;1,147386;
b;0;0,09483549;0,1238589;0,07257998;0,0968051;0,1771522;0,1167824;0,1360643;0,06658483;0,06423473;0,1039808;0,09449983;0,3073044;0,3830853;0,6761665;0,9446211;0,5044985;1,029748;0,9876022;0,8000426;0,6731696;0,9304619;0,9541235;1,109118;0,8711796;0,8937407;
b;0;0,1094702;0,1590464;0,186445;0,3246485;0,2231646;0,5094264;0,5543945;0,539407;0,4871686;0,4976251;0,4544601;0,8918204;1,147367;1,347324;1,391725;1,495193;1,545792;1,58193;1,39607;1,324829;1,816449;1,535141;1,643626;1,359344;1,278415;
b;0;0,04896769;0,09964269;0,04946744;0,07431579;0,1523292;0,07166052;0,05097127;0,1397595;0,1918914;0,1277201;0,1602125;0,4818149;0,5569768;0,5459137;0,9959784;0,5554514;1,433763;1,568168;1,839882;1,690368;1,719674;1,61642;2,144564;1,883676;1,801944;
b;0;0,06961957;0,1266408;0,1214781;0,09430563;0,2289226;0,1310225;0,1005981;0,06161833;0,04736614;0,06737161;0,03594828;0,2933698;0,3950629;0,6672201;1,469953;1,056015;1,07749;1,009722;0,8228021;0,7230043;0,7519836;0,82584;1,212189;0,9765825;0,9204588;
b;0;0,04305336;0,03146249;0,05125165;0,07879865;0,004685163;0,2220335;0,2431366;0,1771524;0,07207727;0,05810738;0,01548147;0,1365976;0,3587542;0,3296056;0,7350936;0,2927518;0,7779636;0,7901244;0,6330137;0,7943492;0,8985825;0,6426125;0,9023714;0,6415148;0,5646515;
b;0;0,04157892;0,09327811;0,05770576;0,05173349;0,05085635;0,1103921;0,1015186;0,06279016;0,1189578;0,1292901;0,2627316;0,5698638;0,4959407;0,4116883;0,8113956;0,4734755;1,163328;1,197481;1,245286;1,350715;1,355952;1,405642;1,561892;1,376375;1,323116;
b;0;0,0668695;0,06984097;0,05770934;0,04472041;0,06307101;0,2508426;0,2433743;0,1989431;0,1661596;0,250962;0,3109336;0,695663;0,673059;0,6658149;1,119696;0,6798496;1,115175;1,207359;1,231409;1,209719;1,265507;1,422697;1,604609;1,552681;1,474989;
s;0;0,05582857;0,05203456;0,226246;0,2559408;0,2355375;0,4159865;0,3507137;0,2696629;0,1749845;0,01746988;0,0368104;0,1009026;0,1310825;0,1187172;0,02246666;0,2938304;0,1419935;0,05540705;0,1899195;0,2189054;0,1155796;0,2973876;0,09399843;0,2047596;0,2074194;
s;0;0,09445208;0,1256387;0,4550149;0,6654333;0,5140231;0,7641031;0,7422688;0,4792442;0,3855474;0,2804863;0,1544111;0,3389249;0,417213;0,5049496;0,3865805;0,5496593;0,4744363;0,4683723;0,6044259;0,6812768;0,6263595;0,8834128;0,5736728;0,7822194;0,8389664;
s;0;0,000146687;0,01718199;0,3414454;0,3228573;0,3551619;0,5307972;0,4883256;0,3490274;0,2307296;0,2449317;0,1638787;0,3501735;0,4241543;0,4101086;0,2646265;0,7070942;0,5359707;0,5005221;0,6134024;0,6407933;0,563673;0,7210269;0,4695635;0,6303825;0,6142087;
s;0;0,02667469;0,07335663;0,2068462;0,2359711;0,2680857;0,4189579;0,3493197;0,267678;0,2969785;0,261549;0,254312;0,4673772;0,5156498;0,5252738;0,3799853;0,795712;0,646615;0,608356;0,7427559;0,7686687;0,6875873;0,8399482;0,6834278;0,8153734;0,8190565;
s;0;0,07901585;0,07133693;0,2334379;0,3358279;0,3679086;0,5422025;0,5242243;0,4356995;0,4411354;0,4066503;0,4233139;0,6021407;0,6522393;0,6365633;0,5179172;0,732264;0,5560012;0,5160933;0,6243873;0,6728244;0,5664992;0,7431798;0,5624132;0,7185502;0,7737741;
s;0;0,045652;0,05017704;0,3797753;0,3072419;0,2624279;0,4643764;0,4203415;0,3341796;0,3398905;0,3001173;0,2916954;0,4791441;0,5546699;0,5067778;0,3615589;0,6001487;0,4709659;0,4355369;0,5186825;0,5434794;0,4368625;0,6674089;0,5089769;0,6434031;0,648953;
s;0;0,005583823;0,09983617;0,06131625;0,1652832;0,1747136;0,3256173;0,2579539;0,2501962;0,2849798;0,2547479;0,2541094;0,4406638;0,4696598;0,4328189;0,2870216;0,6801729;0,5792193;0,4700832;0,5788517;0,6068068;0,5060453;0,683496;0,5288415;0,6364422;0,6158137;
s;0;0,0798223;0,1964058;0,09658635;0,007726669;0,04108381;0,2412651;0,1952844;0,06320667;0,09366322;0,06189322;0,08237863;0,2953463;0,3475704;0,335372;0,1919079;0,6048398;0,4276381;0,3708258;0,479959;0,5069594;0,4281797;0,5858898;0,406292;0,5230608;0,5077839;
s;0;0,03148562;0,07594579;0,3064317;0,4362892;0,3905494;0,5621822;0,5426993;0,6582375;0,5853283;0,5707936;0,5647345;0,7244751;0,7489853;0,7052488;0,5380869;0,9797468;0,7749548;0,7630105;0,8739185;0,8964367;0,8139448;1,017834;0,8091273;0,9685378;0,9671264;
