b;0;0,1287;0,1490616;0,1707835;0,3456737;0,3375752;0,4640834;0,5843904;
b;0;0,05719358;0,1322006;0,1344817;0,2374355;0,2305892;0,3767498;0,3688281;
b;0;0,04930457;0,0133419;0,05617142;0,1283494;0,1457474;0,2482324;0,3166175;
b;0;0,0176107;0,001888096;0,0223701;0,1177748;0,08571315;0,1370242;0,2068098;
b;0;0,02198851;0,04696864;0,09215617;0,1378988;0,1022038;0,2017615;0,1920316;
b;0;0,0444918;0,02589667;0,07954776;0,02433598;0,0103519;0,0429318;0,008814335;
b;0;0,0219585;0,02076858;0,06389487;0,2391347;0,161272;0,3162112;0,310725;
b;0;0,001760721;0,003549337;0,06843567;0,2347158;0,1767027;0,2321703;0,2001281;
b;0;0,02289596;0,05485809;0,01341522;0,1839246;0,0776968;0,3878081;0,3552577;
b;0;0,07263577;0,1049007;0,05495322;0,1639916;0,08316803;0,2605522;0,2017939;
s;0;0,02844131;0,04696989;0,08370662;0,1911775;0,1923871;0,3950529;0,4054055;
s;0;0,02763247;0,09544581;0,03345263;0,1342075;0,1636031;0,3921182;0,3748112;
s;0;0,0008969307;0,01454228;0,1153439;0,2241486;0,2340667;0,4393306;0,4471114;
s;0;0,02283543;0,0008288026;0,1309866;0,2866499;0,2930942;0,4938872;0,4769077;
s;0;0,003369629;0,02565056;0,2335309;0,3161412;0,3224512;0,5008922;0,4827204;
s;0;0,02496046;0,03982532;0,2690798;0,2198526;0,2527823;0,4513981;0,3823025;
s;0;0,02569246;0,06886965;0,1574885;0,1179473;0,1275203;0,3306618;0,209306;
s;0;0,000303179;0,01384556;0,2944726;0,221972;0,3037368;0,5047297;0,01473379;
s;0;0,01991412;0,0006012917;0,02580023;0,02645218;0,03632998;0,2352381;0,138644;
s;0;0,0246959;0,03009886;0,3881033;0,2935508;0,302904;0,5062289;0,1578829;
s;0;0,002508879;0,007242382;0,3368779;0,3918266;0,3673899;0,5436792;0,4502194;
