s;0;0,0823704;0,1525133;0,2529702;0,4061023;0,4048057;0,3050797;0,3782966;0,310709;0,3356535;0,372297;0,4051986;0,228951;0,1856632;0,1722736;0,3527036;
s;0;0,1053196;0,5534179;0,1213834;2,609775;2,553005;2,5804;2,603889;2,83915;2,909769;3,120039;3,325588;3,365449;3,470483;3,615986;3,711626;
s;0;0,1130409;0,2677152;0,3509153;0,4806329;0,5252874;0,3798671;0,4246984;0,2871594;0,3620582;0,4010222;0,4050689;0,2478151;0,1986799;0,1858573;0,3324823;
s;0;0,2904549;0,4974532;0,4592272;0,5899845;0,6622813;0,5386572;0,6116033;0,4963341;0,5698984;0,6347392;0,6972256;0,5425992;0,5173669;0,4824543;0,6538978;
s;0;0,1041586;0,2222942;0,1945342;0,2884372;0,2554514;0,08225226;0,1735759;0,05468202;0,1049757;0,1192164;0,1781902;0,02972937;0,1032219;0,114831;0,02670908;
s;0;0,1367913;0,2927309;0,3150685;0,3414091;0,3905764;0,2198284;0,263339;0,1459088;0,268728;0,2779019;0,304163;0,09117079;0,07312393;0,04030943;0,2113223;
s;0;0,1084389;0,2075958;0,2111453;0,2676207;0,2637169;0,09190202;0,1605191;0,04491615;0,06877327;0,1052508;0,1663084;0,04399729;0,06503725;0,1009941;0,01990366;
s;0;0,2356476;0,3549064;0,3742576;0,4202186;0,4372997;0,284384;0,3527501;0,1826541;0,2751091;0,308521;0,3133965;0,1286716;0,1051126;0,06561995;0,2345476;
s;0;0,001605809;0,09396565;0,1151932;0,2173785;0,2651095;0,06118274;0,1017356;0,01820469;0,07758403;0,09060168;0,1487589;0,05826235;0,08319664;0,1177235;0,001130104;
b;0;0,1191123;0,08025599;0,1715184;0,1894521;0,2428172;0,01965928;0,5288713;0,4385056;0,33286;0,5484359;0,9982166;0,7892714;1,302286;1,373805;1,699088;
b;0;0,03329653;0,2357684;0,2653223;0,3742834;0,2932217;0,003629684;0,1024315;0,7487054;0,8484609;1,069478;1,546139;1,366145;1,342146;1,385387;2,353878;
b;0;0,01791221;0,1083409;0,3123434;0,487692;0,4128902;0,4068758;0,7187059;0,9907038;0,9372256;1,024211;1,314577;1,055566;0,9797339;1,072033;1,420691;
b;0;0,1328761;0,1789993;0,2039742;0,2602149;0,257144;0,08646727;0,05786562;0,3500123;0,4508419;0,5878441;0,5204163;0,2846699;0,3376875;0,456749;0,5279632;
b;0;0,05725431;0,1041086;0,1524096;0,2774764;0,2452781;0,09611535;0,06071663;0,3266315;0,4208372;0,4820931;0,492136;0,434031;0,4384441;0,4821234;0,628037;
b;0;0,04972816;0,09747636;0,1233743;0,2436453;0,1612189;0,09309196;0,06094193;0,2507703;0,271323;0,4432909;0,3475428;0,3404264;0,4254003;0,5728698;0,6908193;
b;0;0,030985;0,1023287;0,1255276;0,2012414;0,1479971;0,02583337;0,05699944;0,1311598;0,04979897;0,03602719;0,2520747;0,1941533;0,2449784;0,3670411;0,4365315;
b;0;0,08850843;0,1103023;0,03765845;0,1756777;0,1452088;0,0001680851;0,02844286;0,135473;0,1585302;0,144985;0,1579609;0,1621637;0,04167843;0,1358519;0,2035508;
b;0;0,01441649;0,03578013;0,1187474;0,176185;0,09650254;0,02265143;0,07963538;0,01390219;0,14499;0,1104655;0,01011229;0,09248447;0,1721239;0,2918487;0,5400305;
b;0;0,005181491;0,04729563;0,2616469;0,08642209;0,1109185;0,3851697;0,3663082;0,03007078;0,1023207;0,2179985;0,1759491;0,1314182;0,1004581;0,1971164;0,4688578;
b;0;0,03677356;0,08496118;0,1698759;0,3538862;0,375246;0,2335863;0,1998172;0,5178537;0,4712145;0,4817717;0,5733871;0,4914098;0,469326;0,5898619;0,6334119;
